location,cases
Afghanistan,7147
Albania,23419
Algeria,74299
Andorra,4771
Angola,5067
Anguilla,124
Antigua and Barbuda,1119
Argentina,847423
Armenia,15223
Aruba,356
Australia,408562
Austria,267991
Azerbaijan,14663
Bahamas,7503
Bahrain,30582
Bangladesh,158000
Barbados,8003
Belarus,2151
Belgium,888776
Belize,9520
Benin,781
Bermuda,1719
Bhutan,1442
Bolivia,148607
Bosnia,135452
Botswana,8123
Brazil,1893275
British Virgin Islands,5760
Brunei,368
Bulgaria,222161
Burkina Faso,258
Burundi,36359
Cabo Verde,794
Cambodia,849
Cameroon,6196
Canada,250680
Caribbean Netherlands,746
Cayman Islands,3558
Central African Republic,6872
Chad,2009
Channel Islands,2503
Chile,219049
China,2361
Colombia,120625
Comoros,45
Congo,3816
Costa Rica,88602
Croatia,67376
Cuba,16475
Curaçao,3106
Cyprus,118724
Czechia,294463
Côte d'Ivoire,2471
DRC,32669
Denmark,492922
Diamond Princess,0
Djibouti,184
Dominica,729
Dominican Republic,19609
Ecuador,657536
Egypt,43581
El Salvador,5393
Equatorial Guinea,471
Eritrea,399
Estonia,60836
Ethiopia,62143
Falkland Islands (Malvinas),85
Faroe Islands,8927
Fiji,2756
Finland,422746
France,6547318
French Guiana,63069
French Polynesia,47158
Gabon,4707
Gambia,1069
Georgia,113797
Germany,1652991
Ghana,2101
Gibraltar,1591
Greece,215464
Greenland,7392
Grenada,2142
Guadeloupe,102296
Guatemala,35773
Guinea,3727
Guinea-Bissau,851
Guyana,12947
Haiti,3478
Holy See (Vatican City State),2
Honduras,254332
Hong Kong,841
Hungary,215839
Iceland,11592
India,2202443
Indonesia,35704
Iran,69482
Iraq,68257
Ireland,436810
Isle of Man,643
Israel,725754
Italy,2716581
Jamaica,50599
Japan,436825
Jordan,66865
Kazakhstan,157819
Kenya,22334
Kiribati,181
Kuwait,47484
Kyrgyzstan,9052
Lao People's Democratic Republic,123936
Latvia,70270
Lebanon,190278
Lesotho,10369
Liberia,1207
Libyan Arab Jamahiriya,20037
Liechtenstein,413
Lithuania,90070
Luxembourg,30832
MS Zaandam,0
Macao,0
Macedonia,21883
Madagascar,4140
Malawi,13021
Malaysia,46785
Maldives,16685
Mali,3601
Malta,4358
Marshall Islands,0
Martinique,81883
Mauritania,4980
Mauritius,121
Mayotte,33015
Mexico,621832
Micronesia,0
Moldova,38108
Monaco,514
Mongolia,120323
Montenegro,7374
Montserrat,12
Morocco,57021
Mozambique,12833
Myanmar,2612
Namibia,6378
Nepal,90576
Netherlands,1046063
New Caledonia,4194
New Zealand,1241
Nicaragua,13209
Niger,525
Nigeria,21482
Norway,599853
Oman,17808
Pakistan,91854
Palau,896
Palestine,22082
Panama,81848
Papua New Guinea,146
Paraguay,60945
Peru,2865588
Philippines,226521
Poland,709875
Portugal,515962
Qatar,30871
Romania,181290
Russia,946156
Rwanda,81553
Réunion,71260
S. Korea,160103
Saint Helena,0
Saint Kitts and Nevis,519
Saint Lucia,4078
Saint Martin,7684
Saint Pierre Miquelon,226
Saint Vincent and the Grenadines,860
Samoa,24
San Marino,1587
Sao Tome and Principe,410
Saudi Arabia,39981
Senegal,3698
Serbia,265949
Seychelles,5260
Sierra Leone,7483
Singapore,18272
Sint Maarten,941
Slovakia,85092
Slovenia,143726
Solomon Islands,730
Somalia,10871
South Africa,66410
South Sudan,3681
Spain,3703788
Sri Lanka,12454
St. Barth,3276
Sudan,12855
Suriname,21601
Swaziland,267
Sweden,711377
Switzerland,804156
Syrian Arab Republic,11044
Taiwan,1308
Tajikistan,94
Tanzania,32142
Thailand,82757
Timor-Leste,32
Togo,4596
Tonga,0
Trinidad and Tobago,20449
Tunisia,109259
Turkey,597238
Turks and Caicos Islands,242
UAE,60884
UK,3213305
USA,27856405
Uganda,58503
Ukraine,244512
Uruguay,76010
Uzbekistan,8908
Vanuatu,0
Venezuela,17103
Vietnam,220306
Wallis and Futuna,9
Western Sahara,1
Yemen,1751
Zambia,5293
Zimbabwe,7594
